                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77361,                0.72388,                 1.0883,                0.89828,                0.94496,                0.96362,                0.79724,                0.65332,                0.66601,                 0.9764,              0.0099327,              0.0099327,              0.0099327
                     36,                0.77064,                0.71932,                 1.0955,                0.92235,                0.94761,                0.97108,                0.80722,                0.64136,                0.57388,                 0.9594,              0.0099307,              0.0099307,              0.0099307
                     37,                0.76234,                0.71277,                 1.0834,                0.92549,                0.92963,                 0.9696,                0.79648,                0.65816,                0.50135,                0.95067,              0.0099287,              0.0099287,              0.0099287
                     38,                0.78506,                0.72274,                 1.0879,                0.92373,                0.95316,                 0.9794,                 0.8112,                0.65249,                0.47687,                0.95216,              0.0099267,              0.0099267,              0.0099267
                     39,                0.74689,                0.68103,                 1.0743,                0.95022,                 0.9257,                0.97838,                0.81499,                0.64831,                 0.5058,                 0.9638,              0.0099248,              0.0099248,              0.0099248
                     40,                0.74658,                0.70045,                  1.084,                0.88326,                0.97197,                0.97159,                0.80125,                0.63127,                0.47427,                0.94844,              0.0099228,              0.0099228,              0.0099228
                     41,                0.73576,                0.67172,                 1.0757,                0.90002,                0.94592,                0.96786,                0.80729,                0.63419,                0.52038,                0.95389,              0.0099208,              0.0099208,              0.0099208
                     42,                0.74988,                0.68497,                 1.0793,                0.91853,                0.91915,                0.94543,                0.79671,                 0.5977,                 0.4967,                0.92686,              0.0099188,              0.0099188,              0.0099188
                     43,                0.74883,                0.68722,                 1.0787,                0.92968,                0.95482,                0.97383,                0.82712,                0.61312,                0.48256,                 0.9355,              0.0099168,              0.0099168,              0.0099168
                     44,                  0.717,                 0.6313,                 1.0667,                0.92918,                0.94009,                0.97574,                0.81795,                0.61553,                0.48852,                0.93514,              0.0099149,              0.0099149,              0.0099149
                     45,                0.70904,                0.65553,                 1.0553,                0.92753,                0.96083,                0.97306,                0.81415,                 0.6432,                0.45653,                0.96433,              0.0099129,              0.0099129,              0.0099129
                     46,                0.73051,                 0.6716,                 1.0744,                0.90196,                 0.9561,                0.96577,                0.80945,                0.60773,                0.44584,                0.93336,              0.0099109,              0.0099109,              0.0099109
                     47,                0.70819,                0.64007,                 1.0528,                0.92109,                0.95636,                0.97327,                0.82524,                0.61604,                0.44509,                0.93044,              0.0099089,              0.0099089,              0.0099089
                     48,                0.72061,                0.64724,                 1.0581,                 0.9334,                 0.9407,                0.97581,                0.82584,                0.60875,                0.45462,                 0.9309,              0.0099069,              0.0099069,              0.0099069
                     49,                0.71552,                0.62575,                 1.0518,                0.90685,                0.96684,                0.97547,                0.82274,                0.61712,                0.42916,                0.95089,               0.009905,               0.009905,               0.009905
                     50,                0.72414,                0.63773,                 1.0644,                0.92877,                0.96027,                0.97726,                0.81895,                0.61986,                0.45521,                0.93344,               0.009903,               0.009903,               0.009903
                     51,                0.71824,                0.63906,                 1.0577,                0.91655,                0.94226,                0.96567,                 0.8119,                 0.6177,                0.46211,                 0.9358,               0.009901,               0.009901,               0.009901
                     52,                0.71476,                0.64045,                  1.052,                0.93596,                0.95502,                 0.9754,                0.81836,                0.60755,                 0.5242,                0.93041,               0.009899,               0.009899,               0.009899
                     53,                0.70559,                0.63052,                 1.0468,                0.91768,                0.96332,                0.98144,                0.82647,                0.59973,                 0.4604,                0.92792,               0.009897,               0.009897,               0.009897
                     54,                0.70699,                0.61773,                  1.056,                0.91942,                0.95973,                0.97863,                0.82217,                0.60737,                0.43012,                 0.9242,              0.0098951,              0.0098951,              0.0098951
                     55,                0.69517,                0.60402,                 1.0444,                 0.9446,                0.95227,                0.97663,                0.83567,                0.59523,                0.42097,                0.92382,              0.0098931,              0.0098931,              0.0098931
                     56,                0.69618,                0.59279,                 1.0351,                0.93964,                0.96118,                0.97745,                0.83186,                0.57639,                0.42177,                0.91061,              0.0098911,              0.0098911,              0.0098911
                     57,                0.69036,                0.59138,                 1.0379,                0.92817,                0.95177,                0.97955,                0.83218,                0.59632,                0.43256,                0.92056,              0.0098891,              0.0098891,              0.0098891
                     58,                0.70333,                0.60758,                 1.0444,                0.90667,                 0.9703,                 0.9789,                0.83913,                0.59015,                0.42453,                0.91069,              0.0098871,              0.0098871,              0.0098871
                     59,                0.68635,                0.60004,                 1.0379,                0.91272,                0.95051,                0.97307,                0.82811,                0.59195,                0.51535,                0.92001,              0.0098852,              0.0098852,              0.0098852
                     60,                0.68602,                 0.6112,                 1.0382,                 0.9262,                0.93673,                0.96867,                0.82513,                0.58681,                 0.4787,                0.92408,              0.0098832,              0.0098832,              0.0098832
                     61,                0.70763,                0.61941,                  1.057,                0.87517,                0.97474,                0.97786,                0.83041,                0.60106,                0.45882,                0.92429,              0.0098812,              0.0098812,              0.0098812
                     62,                0.68822,                0.61552,                 1.0413,                0.94019,                 0.9464,                 0.9828,                0.83868,                0.58594,                0.43473,                0.91783,              0.0098792,              0.0098792,              0.0098792
                     63,                0.69413,                0.59191,                 1.0381,                0.94655,                0.94956,                0.98279,                0.84015,                0.57868,                0.41987,                0.91593,              0.0098772,              0.0098772,              0.0098772
                     64,                0.68188,                0.59233,                 1.0457,                0.91531,                0.94985,                0.96836,                0.81581,                0.59935,                0.45884,                0.92705,              0.0098753,              0.0098753,              0.0098753
                     65,                0.69429,                0.60107,                 1.0444,                0.95769,                0.92854,                0.98123,                 0.8403,                0.57226,                 0.4145,                0.91175,              0.0098733,              0.0098733,              0.0098733
                     66,                0.67498,                0.58159,                 1.0275,                0.93427,                0.92941,                0.97605,                0.82874,                0.57828,                0.49647,                0.90116,              0.0098713,              0.0098713,              0.0098713
                     67,                0.69163,                0.57737,                 1.0375,                0.92899,                0.96474,                0.97997,                0.82395,                0.58938,                0.42271,                0.91488,              0.0098693,              0.0098693,              0.0098693
                     68,                0.69281,                0.58549,                 1.0529,                0.94067,                0.95755,                0.98512,                0.84317,                0.57952,                0.48894,                0.91591,              0.0098673,              0.0098673,              0.0098673
                     69,                0.66481,                0.58411,                 1.0309,                0.92547,                0.94906,                0.98085,                 0.8423,                0.57024,                0.42405,                0.89701,              0.0098654,              0.0098654,              0.0098654
                     70,                0.67098,                0.57061,                 1.0221,                 0.9482,                0.95304,                0.98429,                0.84053,                0.57045,                0.43725,                0.89938,              0.0098634,              0.0098634,              0.0098634
                     71,                0.68509,                0.57908,                 1.0359,                0.90598,                0.95383,                0.96717,                0.82604,                 0.5702,                0.45313,                0.90429,              0.0098614,              0.0098614,              0.0098614
                     72,                0.67884,                0.58275,                 1.0413,                0.94544,                0.95142,                0.98224,                 0.8403,                0.57134,                0.41605,                0.89718,              0.0098594,              0.0098594,              0.0098594
                     73,                0.67711,                0.56339,                 1.0343,                0.95067,                0.93887,                0.98031,                0.83593,                0.56602,                0.40455,                0.90342,              0.0098574,              0.0098574,              0.0098574
                     74,                0.64477,                0.58806,                  1.022,                0.94657,                0.94387,                0.98271,                0.84409,                0.56178,                 0.4052,                0.90324,              0.0098555,              0.0098555,              0.0098555
                     75,                 0.6677,                 0.5676,                 1.0227,                0.94484,                 0.9461,                 0.9809,                0.84611,                0.56503,                0.42439,                0.89921,              0.0098535,              0.0098535,              0.0098535
                     76,                0.67379,                0.58547,                 1.0297,                0.94218,                 0.9592,                0.98417,                0.84888,                 0.5669,                0.39613,                0.90194,              0.0098515,              0.0098515,              0.0098515
                     77,                0.65099,                0.54518,                 1.0191,                0.94368,                0.96358,                0.98492,                0.84924,                0.55789,                0.43329,                0.89513,              0.0098495,              0.0098495,              0.0098495
                     78,                0.66894,                 0.5739,                 1.0335,                0.94483,                0.96545,                0.98387,                0.84202,                0.55958,                0.46284,                0.89427,              0.0098475,              0.0098475,              0.0098475
                     79,                0.67621,                0.55792,                 1.0318,                0.94397,                0.95618,                0.98387,                0.84998,                0.55608,                0.39814,                0.89017,              0.0098456,              0.0098456,              0.0098456
                     80,                0.66079,                0.56031,                 1.0224,                0.94685,                0.94963,                0.98411,                0.84379,                0.55622,                0.46855,                0.89125,              0.0098436,              0.0098436,              0.0098436
                     81,                0.64762,                0.54224,                 1.0155,                0.93458,                0.95725,                0.97998,                0.84429,                0.54525,                0.46247,                0.88647,              0.0098416,              0.0098416,              0.0098416
                     82,                0.67017,                0.59361,                 1.0276,                0.92588,                 0.9698,                0.98166,                0.84042,                0.56156,                0.40473,                0.89775,              0.0098396,              0.0098396,              0.0098396
                     83,                0.65188,                 0.5571,                 1.0221,                0.93505,                0.96605,                0.97869,                0.84198,                 0.5602,                0.45299,                 0.8909,              0.0098376,              0.0098376,              0.0098376
